timestamp_iso,timestamp_epoch,t_rel_s,device_name,port,value_raw_mps,value_clipped_mps,expected_error_pct,cov_lower_mps,cov_upper_mps
2025-10-30T12:10:21.669Z,211811.545521,45.039396,Student,/dev/cu.usbmodem141403,1.101200,1.101200,,,
2025-10-30T12:10:21.669Z,211811.545820,45.039696,Student,/dev/cu.usbmodem141403,1.100700,1.100700,,,
2025-10-30T12:10:21.669Z,211811.546112,45.039987,Student,/dev/cu.usbmodem141403,1.103800,1.103800,,,
2025-10-30T12:10:21.669Z,211811.546445,45.040320,Student,/dev/cu.usbmodem141403,1.107000,1.107000,,,
2025-10-30T12:10:21.670Z,211811.547906,45.041781,Student,/dev/cu.usbmodem141403,1.107500,1.107500,,,
2025-10-30T12:10:21.699Z,211811.554832,45.048708,Student,/dev/cu.usbmodem141403,1.108000,1.108000,,,
2025-10-30T12:10:21.699Z,211811.557812,45.051688,Student,/dev/cu.usbmodem141403,1.111000,1.111000,,,
2025-10-30T12:10:21.699Z,211811.563015,45.056890,Student,/dev/cu.usbmodem141403,1.110400,1.110400,,,
2025-10-30T12:10:21.699Z,211811.569329,45.063204,Student,/dev/cu.usbmodem141403,1.108500,1.108500,,,
2025-10-30T12:10:21.699Z,211811.572850,45.066726,Student,/dev/cu.usbmodem141403,1.107500,1.107500,,,
2025-10-30T12:10:21.699Z,211811.577939,45.071815,Student,/dev/cu.usbmodem141403,1.106500,1.106500,,,
2025-10-30T12:10:21.699Z,211811.586092,45.079967,Student,/dev/cu.usbmodem141403,1.106800,1.106800,,,
2025-10-30T12:10:21.699Z,211811.588529,45.082404,Student,/dev/cu.usbmodem141403,1.103500,1.103500,,,
2025-10-30T12:10:21.699Z,211811.593465,45.087340,Student,/dev/cu.usbmodem141403,1.102000,1.102000,,,
2025-10-30T12:10:21.699Z,211811.598364,45.092239,Student,/dev/cu.usbmodem141403,1.100400,1.100400,,,
2025-10-30T12:10:21.699Z,211811.604270,45.098146,Student,/dev/cu.usbmodem141403,1.100600,1.100600,,,
2025-10-30T12:10:21.699Z,211811.608395,45.102271,Student,/dev/cu.usbmodem141403,1.099900,1.099900,,,
2025-10-30T12:10:21.700Z,211811.612896,45.106772,Student,/dev/cu.usbmodem141403,1.098100,1.098100,,,
2025-10-30T12:10:21.700Z,211811.617978,45.111854,Student,/dev/cu.usbmodem141403,1.098400,1.098400,,,
2025-10-30T12:10:21.700Z,211811.623748,45.117624,Student,/dev/cu.usbmodem141403,1.098800,1.098800,,,
2025-10-30T12:10:21.700Z,211811.628093,45.121968,Student,/dev/cu.usbmodem141403,1.095300,1.095300,,,
2025-10-30T12:10:21.700Z,211811.635032,45.128908,Student,/dev/cu.usbmodem141403,1.093200,1.093200,,,
2025-10-30T12:10:21.700Z,211811.639835,45.133711,Student,/dev/cu.usbmodem141403,1.092400,1.092400,,,
2025-10-30T12:10:21.700Z,211811.644567,45.138443,Student,/dev/cu.usbmodem141403,1.092500,1.092500,,,
2025-10-30T12:10:21.700Z,211811.647911,45.141786,Student,/dev/cu.usbmodem141403,1.094500,1.094500,,,
2025-10-30T12:10:21.725Z,211811.655550,45.149426,Student,/dev/cu.usbmodem141403,1.094800,1.094800,,,
2025-10-30T12:10:21.725Z,211811.658003,45.151878,Student,/dev/cu.usbmodem141403,1.096900,1.096900,,,
2025-10-30T12:10:21.725Z,211811.663821,45.157697,Student,/dev/cu.usbmodem141403,1.098600,1.098600,,,
2025-10-30T12:10:21.725Z,211811.670420,45.164296,Student,/dev/cu.usbmodem141403,1.100400,1.100400,,,
2025-10-30T12:10:21.725Z,211811.678385,45.172261,Student,/dev/cu.usbmodem141403,1.099300,1.099300,,,
2025-10-30T12:10:21.725Z,211811.678471,45.172347,Student,/dev/cu.usbmodem141403,1.100600,1.100600,,,
2025-10-30T12:10:21.799Z,211811.704967,45.198843,Student,/dev/cu.usbmodem141403,1.100700,1.100700,,,
2025-10-30T12:10:21.799Z,211811.705212,45.199087,Student,/dev/cu.usbmodem141403,1.097200,1.097200,,,
2025-10-30T12:10:21.799Z,211811.705420,45.199295,Student,/dev/cu.usbmodem141403,1.095900,1.095900,,,
